Function,rlde_mean,rlde_mean_rank,de_mean,de_mean_rank,jade_mean,jade_mean_rank,lshade_mean,lshade_mean_rank,shade_mean,shade_mean_rank
F1,1.92e-15,4,1.93e-20,2,5.74e-16,3,1.35e+08,5,0.00e+00,1
F2,5.79e-27,2,0.00e+00,1,0.00e+00,1,1.97e+02,3,0.00e+00,1
F3,3.66e+00,5,3.19e+00,4,2.39e+00,2,3.06e+00,3,2.39e+00,1
F4,9.22e+00,4,2.48e+01,5,4.25e+00,3,1.48e+00,1,3.36e+00,2
F5,7.30e-06,3,2.50e-38,2,0.00e+00,1,0.00e+00,1,0.00e+00,1
F6,6.20e+02,4,6.34e+02,5,6.15e+02,3,6.12e+02,1,6.13e+02,2
F7,1.97e+01,1,5.66e+01,3,6.19e+01,4,4.13e+01,2,6.43e+01,5
F8,1.70e-29,1,1.86e+00,3,2.14e+00,4,1.66e+00,2,2.27e+00,5
F9,2.99e+02,1,5.46e+02,2,1.25e+03,4,6.31e+02,3,1.35e+03,5
F10,8.80e+00,3,1.67e-01,1,4.65e+01,5,6.44e-01,2,2.23e+01,4
F11,2.27e+03,5,1.39e-01,1,1.47e+01,4,1.46e+01,3,1.73e-01,2
F12,1.15e+01,5,8.70e+00,4,4.59e+00,2,4.50e+00,1,5.52e+00,3
F13,2.70e+01,5,2.57e+01,4,1.70e+01,2,5.73e+00,1,2.09e+01,3
F14,5.85e+01,4,6.91e-02,1,6.41e-01,2,2.35e+05,5,6.54e-01,3
F15,8.87e+01,3,2.12e-01,1,2.75e+01,2,2.76e+02,5,9.65e+01,4
F16,5.29e+01,4,2.62e+01,2,1.83e+01,1,3.55e+01,3,9.85e+01,5
F17,2.51e+01,4,5.95e-02,1,6.06e+00,2,4.72e+03,5,1.07e+01,3
F18,1.58e+00,5,1.07e+00,2,1.12e+00,3,3.49e-01,1,1.39e+00,4
F19,2.66e+01,5,2.14e+01,4,1.86e+00,2,5.86e+00,3,1.45e+00,1
F20,1.00e+02,1,1.09e+02,2,1.35e+02,3,3.12e+02,5,1.52e+02,4
F21,1.01e+02,2,1.00e+02,1,3.33e+02,4,1.02e+02,3,5.45e+02,5
F22,1.27e+02,2,1.03e+02,1,1.37e+02,4,2.43e+02,5,1.30e+02,3
F23,2.00e+02,5,1.17e+02,4,1.00e+02,1,1.13e+02,3,1.03e+02,2
F24,4.83e+02,2,5.06e+02,4,4.96e+02,3,4.82e+02,1,5.08e+02,5
F25,4.66e+02,5,1.56e+01,2,1.56e+01,1,3.47e+02,4,1.61e+02,3
F26,3.92e+02,1,3.94e+02,2,4.26e+02,5,3.98e+02,3,4.25e+02,4
F27,8.04e+01,2,4.44e-15,1,4.44e-15,1,2.31e+02,3,4.44e-15,1
F28,1.85e+03,4,9.95e+02,2,9.96e+02,3,1.86e+04,5,9.25e+02,1
F29,1.38e+04,4,1.56e+03,2,1.55e+03,1,8.90e+06,5,1.75e+03,3
