Function,rlde_median,rlde_median_rank,de_median,de_median_rank,jade_median,jade_median_rank,lshade_median,lshade_median_rank,shade_median,shade_median_rank
F1,9.16e-18,3,1.64e-20,2,0.00e+00,1,0.00e+00,1,0.00e+00,1
F2,5.81e-29,2,0.00e+00,1,0.00e+00,1,0.00e+00,1,0.00e+00,1
F3,4.19e+00,3,3.99e+00,2,3.99e+00,1,3.99e+00,1,3.99e+00,1
F4,7.96e+00,4,2.44e+01,5,4.53e+00,3,1.03e+00,1,3.49e+00,2
F5,7.42e-12,2,0.00e+00,1,0.00e+00,1,0.00e+00,1,0.00e+00,1
F6,6.20e+02,4,6.35e+02,5,6.15e+02,3,6.12e+02,1,6.13e+02,2
F7,2.00e+01,1,5.60e+01,3,7.20e+01,5,4.00e+01,2,6.80e+01,4
F8,4.63e-31,1,2.07e+00,2,2.16e+00,3,2.07e+00,2,2.25e+00,4
F9,2.68e+02,1,5.10e+02,2,1.17e+03,4,7.53e+02,3,1.39e+03,5
F10,6.33e+00,4,6.58e-04,2,5.19e+01,5,0.00e+00,1,1.77e+00,3
F11,6.23e+02,3,2.08e-01,2,2.08e-01,1,2.08e-01,1,2.08e-01,1
F12,9.96e+00,5,7.19e+00,4,4.10e+00,1,4.36e+00,2,5.48e+00,3
F13,2.60e+01,4,2.65e+01,5,2.11e+01,2,1.17e+00,1,2.17e+01,3
F14,9.01e+00,5,8.73e-03,1,6.32e-01,3,4.73e-01,2,6.65e-01,4
F15,1.05e+00,5,2.14e-01,1,3.09e-01,3,2.35e-01,2,3.39e-01,4
F16,2.48e+01,5,1.96e+01,1,2.06e+01,2,2.07e+01,3,2.23e+01,4
F17,2.18e+01,5,4.29e-03,1,5.00e-01,3,4.84e-01,2,1.42e+01,4
F18,1.64e+00,5,1.12e+00,3,1.10e+00,2,3.50e-01,1,1.42e+00,4
F19,2.24e+01,4,2.26e+01,5,1.74e+00,3,1.63e+00,2,1.42e+00,1
F20,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.51e+02,2
F21,1.00e+02,1,1.00e+02,1,3.09e+02,2,1.00e+02,1,5.55e+02,3
F22,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1
F23,2.00e+02,2,1.00e+02,1,1.00e+02,1,1.00e+02,1,1.00e+02,1
F24,4.80e+02,2,5.07e+02,3,5.07e+02,4,4.79e+02,1,5.07e+02,5
F25,4.67e+02,2,9.74e-26,1,9.74e-26,1,4.69e+02,3,9.74e-26,1
F26,3.91e+02,2,3.96e+02,3,3.96e+02,3,3.98e+02,4,3.90e+02,1
F27,4.44e-15,1,4.44e-15,1,4.44e-15,1,2.77e+02,2,4.44e-15,1
F28,1.13e+03,5,9.81e+02,1,1.04e+03,4,9.89e+02,2,1.03e+03,3
F29,1.18e+04,5,1.38e+03,1,1.39e+03,2,2.44e+03,4,1.52e+03,3
