Function,fade_avg,fade_avg_rank,sade_avg,sade_avg_rank,apdsde_avg,apdsde_avg_rank,rlpde_avg,rlpde_avg_rank
F1,1.96e+02,3,4.74e-15,1,1.28e+05,4,6.97e+01,2
F2,1.07e-05,2,1.03e-05,1,3.58e+02,4,9.12e+00,3
F3,6.31e+02,4,3.79e-15,1,7.81e+01,3,1.77e+01,2
F4,2.55e+00,3,2.01e-01,1,4.25e+00,4,2.38e-01,2
F5,4.73e+00,2,8.16e+00,3,9.09e+00,4,3.40e+00,1
F6,1.29e-01,3,4.05e-05,1,2.15e+00,4,5.25e-03,2
F7,1.48e+01,2,2.06e+01,4,2.03e+01,3,1.33e+01,1
F8,4.47e+00,2,8.54e+00,3,8.99e+00,4,3.33e+00,1
F9,0.00e+00,1,0.00e+00,1,7.58e-05,2,0.00e+00,1
F10,2.25e+02,2,5.57e+02,4,2.67e+02,3,1.16e+02,1
F11,1.95e+00,2,6.65e-02,1,3.64e+00,4,2.04e+00,3
F12,9.25e+04,4,2.89e+03,1,2.42e+04,3,5.39e+03,2
F13,3.07e+02,3,3.45e+00,1,4.43e+02,4,7.35e+00,2
F14,5.96e-01,2,2.55e-01,1,3.95e+00,4,9.46e-01,3
F15,4.67e-01,2,3.77e-01,1,2.44e+00,4,5.23e-01,3
F16,3.08e+00,3,4.03e-01,1,2.11e+01,4,9.69e-01,2
F17,2.53e-01,1,4.79e+00,4,4.06e+00,3,3.39e-01,2
F18,5.40e-01,2,6.43e+00,4,1.65e+00,3,5.33e-01,1
F19,1.34e-02,2,9.80e-03,1,5.23e-01,4,3.92e-02,3
F20,1.04e-02,1,1.04e-02,2,6.80e-01,4,1.45e-02,3
F21,1.23e+02,3,1.55e+02,4,1.21e+02,2,1.14e+02,1
F22,7.53e+01,1,9.41e+01,3,9.47e+01,4,7.59e+01,2
F23,3.09e+02,4,3.09e+02,3,3.05e+02,2,2.97e+02,1
F24,2.73e+02,3,3.12e+02,4,1.20e+02,2,1.11e+02,1
F25,3.98e+02,2,4.26e+02,4,4.11e+02,3,3.39e+02,1
F26,2.42e+02,3,3.03e+02,4,1.07e+02,1,2.28e+02,2
F27,3.89e+02,2,3.90e+02,3,3.94e+02,4,3.89e+02,1
F28,3.53e+02,3,4.01e+02,4,3.31e+02,2,2.94e+02,1
F29,2.47e+02,2,2.49e+02,3,2.69e+02,4,2.39e+02,1
F30,1.46e+04,1,4.84e+04,2,4.97e+04,3,9.15e+04,4
