Function,fade_best,fade_best_rank,sade_best,sade_best_rank,apdsde_best,apdsde_best_rank,rlpde_best,rlpde_best_rank
F1,2.66e-01,4,0.00e+00,1,8.12e-02,3,5.68e-14,2
F2,1.35e-06,3,1.43e-09,1,2.26e-03,4,3.13e-09,2
F3,9.79e+01,4,0.00e+00,1,2.08e-01,3,4.31e-07,2
F4,9.49e-03,3,9.13e-02,4,5.44e-04,2,1.28e-07,1
F5,1.02e+00,2,4.47e+00,3,5.97e+00,4,1.25e-02,1
F6,1.57e-02,3,0.00e+00,1,2.13e-01,4,1.45e-07,2
F7,1.23e+01,2,1.51e+01,3,1.58e+01,4,1.05e+01,1
F8,1.50e+00,2,4.01e+00,4,2.99e+00,3,9.95e-01,1
F9,0.00e+00,1,0.00e+00,1,4.77e-12,2,0.00e+00,1
F10,5.33e+01,3,2.91e+02,4,1.86e+01,2,9.61e-01,1
F11,7.82e-01,3,0.00e+00,1,8.08e-01,4,3.95e-01,2
F12,2.60e+04,4,3.73e+02,2,7.39e+02,3,3.25e+02,1
F13,1.40e+01,4,1.42e-03,1,3.76e+00,3,1.36e+00,2
F14,9.66e-03,3,0.00e+00,1,1.58e-01,4,4.80e-07,2
F15,1.60e-01,3,6.78e-04,1,1.93e-01,4,1.06e-02,2
F16,3.15e-01,3,9.82e-03,1,6.49e-01,4,6.38e-02,2
F17,2.59e-04,2,2.42e-04,1,5.93e-01,4,1.47e-03,3
F18,1.07e-01,4,2.28e-03,1,1.89e-02,3,3.26e-03,2
F19,2.00e-03,2,0.00e+00,1,1.02e-02,3,0.00e+00,1
F20,2.55e-05,1,2.55e-05,1,1.48e-03,3,6.31e-04,2
F21,4.66e+00,1,1.00e+02,2,1.00e+02,3,1.00e+02,2
F22,2.04e+01,2,1.16e+01,1,2.86e+01,3,3.05e+01,4
F23,3.06e+02,4,3.05e+02,3,2.42e-02,2,0.00e+00,1
F24,1.00e+02,4,1.00e+02,2,1.00e+02,3,0.00e+00,1
F25,3.98e+02,3,3.98e+02,2,3.98e+02,4,1.00e+02,1
F26,4.55e-13,1,3.00e+02,4,2.03e-03,3,8.35e-05,2
F27,3.88e+02,1,3.89e+02,4,3.89e+02,2,3.89e+02,3
F28,3.00e+02,4,3.00e+02,3,6.79e-01,2,2.46e-05,1
F29,2.38e+02,3,2.29e+02,2,2.50e+02,4,1.56e+02,1
F30,1.59e+03,4,6.52e+02,1,1.29e+03,3,7.63e+02,2
