Function,fade_median,fade_median_rank,sade_median,sade_median_rank,apdsde_median,apdsde_median_rank,rlpde_median,rlpde_median_rank
F1,9.60e+00,3,0.00e+00,1,1.54e+02,4,9.50e-05,2
F2,7.55e-06,3,2.52e-07,1,7.87e+01,4,4.21e-07,2
F3,5.52e+02,4,0.00e+00,1,4.10e+01,3,5.09e-01,2
F4,2.66e+00,3,1.98e-01,2,5.49e+00,4,5.49e-02,1
F5,4.53e+00,2,8.25e+00,3,8.96e+00,4,3.03e+00,1
F6,9.10e-02,3,0.00e+00,1,2.11e+00,4,3.40e-03,2
F7,1.48e+01,2,2.03e+01,3,2.05e+01,4,1.31e+01,1
F8,4.65e+00,2,8.40e+00,3,8.95e+00,4,3.03e+00,1
F9,0.00e+00,1,0.00e+00,1,4.29e-08,2,0.00e+00,1
F10,2.24e+02,2,5.60e+02,4,2.60e+02,3,4.38e+01,1
F11,1.91e+00,2,2.27e-13,1,3.54e+00,4,2.00e+00,3
F12,6.34e+04,4,2.16e+03,1,5.85e+03,3,4.04e+03,2
F13,1.87e+02,4,2.53e+00,1,4.29e+01,3,7.59e+00,2
F14,3.43e-01,2,0.00e+00,1,3.00e+00,4,9.95e-01,3
F15,4.32e-01,3,2.10e-01,1,2.18e+00,4,3.12e-01,2
F16,1.47e+00,4,4.23e-01,1,1.28e+00,3,4.37e-01,2
F17,3.12e-01,2,4.50e+00,4,2.40e+00,3,1.59e-01,1
F18,5.25e-01,2,1.05e+00,3,1.45e+00,4,3.93e-01,1
F19,1.04e-02,3,0.00e+00,1,3.60e-01,4,1.47e-03,2
F20,2.55e-05,1,2.55e-05,2,8.29e-01,4,7.48e-03,3
F21,1.05e+02,3,1.54e+02,4,1.04e+02,2,1.00e+02,1
F22,1.00e+02,4,1.00e+02,2,1.00e+02,3,9.10e+01,1
F23,3.08e+02,2,3.09e+02,3,3.16e+02,4,3.07e+02,1
F24,3.39e+02,4,3.36e+02,3,1.00e+02,2,1.00e+02,1
F25,3.98e+02,2,4.43e+02,4,4.00e+02,3,3.98e+02,1
F26,3.00e+02,4,3.00e+02,3,1.54e-01,1,2.37e+02,2
F27,3.89e+02,2,3.90e+02,3,3.95e+02,4,3.89e+02,1
F28,3.64e+02,4,3.00e+02,1,3.00e+02,3,3.00e+02,2
F29,2.47e+02,2,2.49e+02,3,2.65e+02,4,2.40e+02,1
F30,7.65e+03,3,5.69e+03,1,2.23e+04,4,7.24e+03,2
