Function,fade_var,fade_var_rank,sade_var,sade_var_rank,apdsde_var,apdsde_var_rank,rlpde_var,rlpde_var_rank
F1,1.02e+06,3,4.64e-29,1,4.85e+11,4,1.43e+05,2
F2,7.47e-11,1,2.52e-09,2,4.55e+05,4,5.45e+02,3
F3,1.67e+05,4,2.08e-28,1,1.93e+04,3,1.95e+03,2
F4,1.82e+00,3,5.18e-03,1,6.81e+00,4,1.93e-01,2
F5,1.60e+00,1,2.99e+00,3,5.64e+00,4,2.93e+00,2
F6,8.88e-03,3,4.93e-08,1,1.45e+00,4,3.60e-05,2
F7,2.01e+00,2,5.22e+00,3,6.17e+00,4,1.77e+00,1
F8,1.37e+00,1,5.20e+00,3,7.47e+00,4,1.99e+00,2
F9,0.00e+00,1,0.00e+00,1,6.02e-08,2,0.00e+00,1
F10,8.59e+03,1,2.34e+04,4,1.38e+04,2,2.26e+04,3
F11,5.97e-01,2,6.37e-02,1,3.68e+00,4,7.73e-01,3
F12,6.80e+09,3,9.06e+06,1,8.37e+09,4,2.24e+07,2
F13,8.97e+04,3,1.30e+01,2,8.23e+05,4,4.84e+00,1
F14,2.75e-01,2,1.84e-01,1,1.98e+01,4,3.69e-01,3
F15,4.88e-02,1,2.28e-01,3,1.95e+00,4,1.94e-01,2
F16,4.75e+01,3,4.01e-02,1,2.02e+03,4,4.90e+00,2
F17,4.76e-02,1,1.40e+01,3,2.25e+01,4,1.61e-01,2
F18,1.00e-01,1,7.99e+01,4,1.61e+00,3,3.33e-01,2
F19,1.29e-04,1,5.47e-04,2,2.40e-01,4,3.33e-02,3
F20,3.25e-03,3,3.25e-03,2,3.59e-01,4,5.11e-04,1
F21,2.22e+03,3,3.05e+03,4,1.67e+03,2,1.38e+03,1
F22,1.01e+03,4,5.04e+02,2,2.47e+02,1,7.32e+02,3
F23,2.79e+00,1,3.13e+00,2,3.34e+03,4,3.16e+03,3
F24,1.14e+04,4,5.19e+03,2,4.03e+03,1,7.15e+03,3
F25,2.24e-01,1,5.14e+02,3,4.19e+02,2,1.41e+04,4
F26,1.18e+04,3,1.43e+02,1,1.65e+04,4,7.19e+03,2
F27,4.16e-01,2,1.23e+00,3,4.83e+00,4,7.62e-02,1
F28,3.88e+03,2,1.86e+04,3,2.48e+04,4,3.36e+03,1
F29,2.66e+01,1,3.78e+01,2,2.12e+02,3,3.01e+02,4
F30,3.30e+08,1,5.14e+10,3,3.28e+09,2,6.15e+10,4
