Function,fade_worst,fade_worst_rank,sade_worst,sade_worst_rank,apdsde_worst,apdsde_worst_rank,rlpde_worst,rlpde_worst_rank
F1,5.53e+03,3,1.42e-14,1,3.81e+06,4,2.07e+03,2
F2,3.88e-05,1,2.75e-04,2,2.33e+03,4,9.77e+01,3
F3,1.79e+03,4,5.68e-14,1,7.30e+02,3,1.99e+02,2
F4,4.93e+00,3,3.42e-01,1,7.28e+00,4,1.80e+00,2
F5,7.31e+00,1,1.13e+01,3,1.49e+01,4,8.95e+00,2
F6,3.31e-01,3,1.22e-03,1,4.48e+00,4,2.48e-02,2
F7,1.76e+01,2,2.83e+01,4,2.42e+01,3,1.65e+01,1
F8,6.05e+00,1,1.28e+01,3,1.29e+01,4,7.96e+00,2
F9,0.00e+00,1,0.00e+00,1,1.13e-03,2,0.00e+00,1
F10,3.90e+02,1,9.05e+02,4,5.54e+02,2,6.45e+02,3
F11,4.45e+00,2,9.95e-01,1,9.69e+00,4,4.55e+00,3
F12,4.19e+05,3,1.42e+04,1,5.08e+05,4,1.85e+04,2
F13,1.18e+03,3,1.13e+01,1,3.71e+03,4,1.19e+01,2
F14,1.44e+00,2,9.95e-01,1,2.40e+01,4,2.47e+00,3
F15,1.02e+00,1,1.99e+00,3,6.30e+00,4,1.16e+00,2
F16,3.87e+01,3,9.16e-01,1,1.21e+02,4,1.14e+01,2
F17,8.74e-01,1,1.42e+01,3,2.01e+01,4,1.26e+00,2
F18,1.68e+00,1,2.15e+01,4,5.41e+00,3,2.37e+00,2
F19,6.49e-02,1,1.22e-01,2,1.44e+00,4,1.00e+00,3
F20,3.12e-01,2,3.12e-01,2,2.37e+00,3,1.17e-01,1
F21,2.11e+02,2,2.13e+02,3,2.14e+02,4,2.10e+02,1
F22,1.01e+02,4,1.00e+02,3,1.00e+02,2,1.00e+02,1
F23,3.14e+02,2,3.12e+02,1,3.25e+02,4,3.15e+02,3
F24,3.43e+02,3,3.41e+02,2,3.45e+02,4,3.40e+02,1
F25,4.00e+02,2,4.46e+02,4,4.46e+02,3,3.98e+02,1
F26,3.47e+02,3,3.47e+02,3,3.00e+02,2,3.00e+02,1
F27,3.92e+02,2,3.95e+02,3,3.97e+02,4,3.90e+02,1
F28,5.84e+02,2,6.12e+02,3,6.18e+02,4,3.66e+02,1
F29,2.61e+02,2,2.62e+02,3,3.07e+02,4,2.59e+02,1
F30,8.22e+04,1,1.25e+06,4,1.92e+05,2,8.33e+05,3
