Function,rlde_worst,rlde_worst_rank,de_worst,de_worst_rank,jade_worst,jade_worst_rank,lshade_worst,lshade_worst_rank,shade_worst,shade_worst_rank
F1,2.65e-14,4,6.94e-20,2,1.72e-14,3,4.04e+09,5,0.00e+00,1
F2,1.22e-25,2,0.00e+00,1,0.00e+00,1,5.90e+03,3,0.00e+00,1
F3,6.47e+00,3,3.99e+00,2,3.99e+00,1,3.99e+00,1,3.99e+00,1
F4,1.89e+01,4,3.20e+01,5,6.06e+00,3,3.01e+00,1,4.82e+00,2
F5,1.82e-04,3,7.50e-37,2,0.00e+00,1,0.00e+00,1,0.00e+00,1
F6,6.29e+02,4,6.41e+02,5,6.17e+02,3,6.12e+02,1,6.15e+02,2
F7,3.00e+01,1,7.20e+01,2,8.20e+01,3,7.20e+01,2,8.20e+01,3
F8,3.48e-28,1,2.25e+00,2,2.34e+00,3,2.25e+00,2,2.34e+00,3
F9,7.06e+02,1,1.35e+03,2,1.92e+03,4,1.74e+03,3,1.92e+03,4
F10,2.39e+01,3,2.56e+00,1,7.39e+01,5,1.56e+01,2,7.23e+01,4
F11,3.35e+04,5,2.08e-01,2,2.18e+02,4,2.17e+02,3,2.08e-01,1
F12,2.49e+01,4,3.23e+01,5,7.80e+00,2,8.24e+00,3,7.39e+00,1
F13,4.29e+01,5,2.99e+01,4,2.50e+01,3,2.06e+01,1,2.44e+01,2
F14,7.26e+02,4,4.97e-01,1,1.08e+00,3,6.08e+06,5,9.62e-01,2
F15,4.36e+02,2,7.11e-01,1,4.45e+02,3,8.27e+03,5,5.74e+02,4
F16,4.41e+02,4,2.38e+02,2,2.46e+01,1,4.19e+02,3,6.42e+02,5
F17,7.45e+01,4,4.70e-01,1,2.05e+01,2,1.37e+05,5,2.06e+01,3
F18,3.31e+00,5,1.43e+00,2,1.96e+00,4,5.52e-01,1,1.91e+00,3
F19,8.11e+01,4,3.72e+01,3,4.59e+00,2,1.20e+02,5,2.34e+00,1
F20,1.00e+02,1,2.30e+02,4,2.08e+02,3,1.99e+03,5,2.05e+02,2
F21,1.06e+02,2,1.00e+02,1,8.01e+02,4,1.33e+02,3,1.25e+03,5
F22,2.00e+02,1,2.00e+02,1,2.00e+02,1,1.64e+03,2,2.00e+02,1
F23,3.10e+02,3,2.00e+02,2,1.00e+02,1,2.00e+02,2,2.00e+02,2
F24,5.08e+02,4,5.07e+02,3,5.07e+02,1,5.07e+02,2,6.10e+02,5
F25,4.68e+02,3,4.68e+02,2,4.67e+02,1,5.00e+02,4,6.62e+02,5
F26,3.99e+02,2,3.98e+02,1,7.67e+02,5,4.31e+02,3,6.45e+02,4
F27,4.23e+02,2,4.44e-15,1,4.44e-15,1,5.05e+02,3,4.44e-15,1
F28,1.33e+04,4,1.04e+03,1,1.09e+03,2,1.17e+05,5,1.10e+03,3
F29,4.28e+04,4,3.16e+03,2,3.16e+03,1,4.18e+07,5,3.17e+03,3
